ICD CODE,DESCRIPTION
M10,gout
I808,phlebitis and thrombophlebitis of other sites
L501,idiopathic urticaria
S822,fracture of shaft of tibia
F450,somatisation disorder
N47,"redundant prepuce, phimosis and paraphimosis"
S81,open wound of lower leg
D181,"lymphangioma, any site"
M7967,"pain in limb, ankle and foot"
D869,"sarcoidosis, unspecified"
N393,stress incontinence
L01,impetigo
K052,acute periodontitis
M430,spondylolysis
P838,other specified conditions of integument specific to fetus and newborn
I714,"abdominal aortic aneurysm, without mention of rupture"
M810,postmenopausal osteoporosis
S5212,fracture of neck of radius
O249,"diabetes mellitus in pregnancy, unspecified onset"
R195,other faecal abnormalities
E784,other hyperlipidaemia
O211,hyperemesis gravidarum with metabolic disturbance
F313,"bipolar affective disorder, current episode mild or moderate depression"
N132,hydronephrosis with renal and ureteral calculous obstruction
J180,"bronchopneumonia, unspecified"
M795,residual foreign body in soft tissue
G431,migraine with aura [classical migraine]
M4780,"other spondylosis, multiple sites in spine"
Q619,"cystic kidney disease, unspecified"
S9088,other superficial injuries of ankle and foot
I88,nonspecific lymphadenitis
B181,chronic viral hepatitis b without delta-agent
O995,"diseases of the respiratory system complicating pregnancy, childbirth and the puerperium"
I499,"cardiac arrhythmia, unspecified"
H112,conjunctival scars
H354,peripheral retinal degeneration
M6260,"muscle strain, multiple sites"
E212,other hyperparathyroidism
Z3900,"postpartum care and examination after delivery, unspecified"
T783,angioneurotic oedema
N879,"dysplasia of cervix uteri, unspecified"
T141,open wound of unspecified body region
Z012,dental examination
O244,diabetes mellitus arising during pregnancy
S60,superficial injury of wrist and hand
F840,childhood autism
R31,unspecified haematuria
N96,habitual aborter
I255,ischaemic cardiomyopathy
T131,"open wound of lower limb, level unspecified"
Z352,supervision of pregnancy with other poor reproductive or obstetric history
N921,excessive and frequent menstruation with irregular cycle
K52,other noninfective gastroenteritis and colitis
L980,pyogenic granuloma
L984,"chronic ulcer of skin, not elsewhere classified"
I050,mitral stenosis
M658,other synovitis and tenosynovitis
R620,delayed milestone
O343,maternal care for cervical incompetence
S233,sprain and strain of thoracic spine
Y838,"other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Y838,other surgical procedures
S920,fracture of calcaneus
J939,"pneumothorax, unspecified"
B082,exanthema subitum [sixth disease]
M7964,"pain in limb, hand"
M4310,"spondylolisthesis, multiple sites in spine"
S86,injury of muscle and tendon at lower leg level
S070,crushing injury of face
D180,haemangioma
H270,aphakia
O091,duration of pregnancy 5-13 completed weeks
L290,pruritus ani
S901,contusion of toe(s) without damage to nail
N48,other disorders of penis
M4787,"other spondylosis, lumbosacral region"
N915,"oligomenorrhoea, unspecified"
L60,nail disorders
R190,"intra-abdominal and pelvic swelling, mass and lump"
H471,"papilloedema, unspecified"
F91,conduct disorders
S9340,"sprain and strain of ankle, part unspecified"
I47,paroxysmal tachycardia
T1401,abrasion of unspecified body region
K298,duodenitis
K076,temporomandibular joint disorders
R22,"localised swelling, mass and lump of skin and subcutaneous tissue"
T18,foreign body in alimentary tract
K07,dentofacial anomalies [including malocclusion]
E29,testicular dysfunction
L408,other psoriasis
O090,duration of pregnancy < 5 completed weeks
O090,duration of pregnancy <5 completed weeks
H34,retinal vascular occlusions
S335,sprain and strain of lumbar spine
L910,hypertrophic scar
K85,acute pancreatitis
R520,acute pain
Z918,"personal history of other specified risk-factors, not elsewhere classified"
F511,nonorganic hypersomnia
S922,fracture of other tarsal bone(s)
N32,other disorders of bladder
J301,allergic rhinitis due to pollen
G440,cluster headache syndrome
R610,localised hyperhidrosis
R23,other skin changes
M5484,"other dorsalgia, thoracic region"
S0130,"open wound of external ear, part unspecified"
M5485,"other dorsalgia, thoracolumbar region"
K528,other specified noninfective gastroenteritis and colitis
Z320,"pregnancy, not (yet) confirmed"
R14,flatulence and related conditions
J21,acute bronchiolitis
S602,contusion of other parts of wrist and hand
H160,corneal ulcer
K520,gastroenteritis and colitis due to radiation
C61,malignant neoplasm of prostate
R634,abnormal weight loss
H00,hordeolum and chalazion
O335,maternal care for disproportion due to unusually large fetus
H35,other retinal disorders
S663,injury of extensor muscle and tendon of other finger at wrist and hand level
S611,open wound of finger(s) with damage to nail
E289,"ovarian dysfunction, unspecified"
N61,inflammatory disorders of breast
S17,crushing injury of neck
A047,enterocolitis due to clostridium difficile
M220,recurrent dislocation of patella
R223,"localised swelling, mass and lump, upper limb"
S234,sprain and strain of ribs and sternum
Z501,other physical therapy
L271,localised skin eruption due to drugs and medicaments
N02,recurrent and persistent haematuria
N86,erosion and ectropion of cervix uteri
T200,burn of unspecified thickness of head and neck
S07,crushing injury of head
M753,calcific tendinitis of shoulder
N485,ulcer of penis
N913,primary oligomenorrhoea
F331,"recurrent depressive disorder, current episode moderate"
K036,deposits [accretions] on teeth
S025,fracture of tooth
K004,disturbances in tooth formation
O100,"pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium"
O13,gestational [pregnancy-induced] hypertension without significant proteinuria
G509,"disorder of trigeminal nerve, unspecified"
M2559,"pain in a joint, site unspecified"
L309,"dermatitis, unspecified"
L301,dyshidrosis [pompholyx]
N801,endometriosis of ovary
G638,polyneuropathy in other diseases classified elsewhere
H041,other disorders of lacrimal gland
S8342,sprain and strain of medial collateral ligament
M4789,"other spondylosis, site unspecified"
L664,folliculitis ulerythematosa reticulata
J440,chronic obstructive pulmonary disease with acute lower respiratory infection
L029,"cutaneous abscess, furuncle and carbuncle, unspecified"
M1399,"arthritis, unspecified, site unspecified"
K599,"functional intestinal disorder, unspecified"
Z243,need for immunisation against yellow fever
F316,"bipolar affective disorder, current episode mixed"
J451,nonallergic asthma
F4001,agoraphobia with panic disorder
E1142,type 2 diabetes mellitus with diabetic polyneuropathy
M4786,"other spondylosis, lumbar region"
J40,"bronchitis, not specified as acute or chronic"
H109,"conjunctivitis, unspecified"
K259,"gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"
S903,contusion of other and unspecified parts of foot
N413,prostatocystitis
M815,idiopathic osteoporosis
H162,keratoconjunctivitis
E1139,type 2 diabetes mellitus with other specified ophthalmic complication
H669,"otitis media, unspecified"
M6520,"calcific tendinitis, multiple sites"
E1440,unspecified diabetes mellitus with unspecified neuropathy
S400,contusion of shoulder and upper arm
S300,contusion of lower back and pelvis
S836,sprain and strain of other and unspecified parts of knee
M2564,"stiffness of joint, not elsewhere classified, hand"
O059,"other abortion, complete or unspecified, without complication"
H538,other visual disturbances
O2449,"diabetes mellitus arising in pregnancy, unspecified"
K277,"peptic ulcer, chronic without haemorrhage or perforation"
F328,other depressive episodes
O234,unspecified infection of urinary tract in pregnancy
S635,sprain and strain of wrist
R102,pelvic and perineal pain
M060,seronegative rheumatoid arthritis
N739,"female pelvic inflammatory disease, unspecified"
T16,foreign body in ear
M1386,"other specified arthritis, lower leg"
D693,idiopathic thrombocytopenic purpura
S011,open wound of eyelid and periocular area
M139,"arthritis, unspecified"
M1391,"arthritis, unspecified, shoulder region"
K2970,"gastritis, unspecified, without mention of haemorrhage"
H409,"glaucoma, unspecified"
M502,other cervical disc displacement
Z489,"surgical follow-up care, unspecified"
M1901,"primary arthrosis of other joints, shoulder region"
H919,"hearing loss, unspecified"
H113,conjunctival haemorrhage
Z278,need for immunisation against other combinations of infectious diseases
L82,seborrhoeic keratosis
K635,polyp of colon
G510,bell's palsy
G409,"epilepsy, unspecified"
M1397,"arthritis, unspecified, ankle and foot"
R500,fever with chills
L409,"psoriasis, unspecified"
N486,induratio penis plastica
R56,"convulsions, not elsewhere classified"
O2499,"diabetes mellitus in pregnancy, unspecified onset, unspecified"
A499,"bacterial infection, unspecified"
S9348,sprain and strain of other parts of ankle
N45,orchitis and epididymitis
M4796,"unspecified spondylosis, lumbar region"
M450,ankylosing spondylitis
B02,zoster [herpes zoster]
H950,recurrent cholesteatoma of postmastoidectomy cavity
O860,infection of obstetric surgical wound
K149,"disease of tongue, unspecified"
H810,meniere's disease
S762,injury of adductor muscle and tendon of thigh
T240,"burn of unspecified thickness of hip and lower limb, except ankle and foot"
I840,internal thrombosed haemorrhoids
R739,"hyperglycaemia, unspecified"
R252,cramp and spasm
S801,contusion of other and unspecified parts of lower leg
L0301,cellulitis of finger
L0311,cellulitis of lower limb
T1403,insect bite of unspecified body region
L732,hidradenitis suppurativa
K112,sialoadenitis
Z634,disappearance and death of family member
K869,"disease of pancreas, unspecified"
A600,herpesviral infection of genitalia and urogenital tract
S6180,unspecified open wound of other parts of wrist and hand
H662,chronic atticoantral suppurative otitis media
R194,change in bowel habit
L405,"arthropathic psoriasis (m07.0-m07.3*, m09.0*)"
D291,benign neoplasm of prostate
M707,other bursitis of hip
Z392,routine postpartum follow-up
K628,other specified diseases of anus and rectum
T1305,"contusion of lower limb, level unspecified"
L040,"acute lymphadenitis of face, head and neck"
L439,"lichen planus, unspecified"
I498,other specified cardiac arrhythmias
M774,metatarsalgia
K801,calculus of gallbladder with other cholecystitis
K409,"unilateral or unspecified inguinal hernia, without obstruction or gangrene"
S500,contusion of elbow
I959,"hypotension, unspecified"
M1254,"traumatic arthropathy, hand"
K120,recurrent oral aphthae
L089,"local infection of skin and subcutaneous tissue, unspecified"
H259,"senile cataract, unspecified"
K594,anal spasm
K829,"disease of gallbladder, unspecified"
K028,other dental caries
K053,chronic periodontitis
K083,retained dental root
K047,periapical abscess without sinus
K007,teething syndrome
J159,"bacterial pneumonia, unspecified"
S314,open wound of vagina and vulva
I340,mitral (valve) insufficiency
I351,aortic (valve) insufficiency
M214,flat foot [pes planus] (acquired)
K273,"peptic ulcer, acute without haemorrhage or perforation"
M7387,"other soft tissue disorders in diseases classified elsewhere, ankle and foot"
N410,acute prostatitis
S019,"open wound of head, part unspecified"
D303,benign neoplasm of bladder
S501,contusion of other and unspecified parts of forearm
R229,"localised swelling, mass and lump, unspecified"
Z040,blood-alcohol and blood-drug test
I471,supraventricular tachycardia
K839,"disease of biliary tract, unspecified"
K509,"crohn's disease, unspecified"
E061,subacute thyroiditis
R876,"abnormal findings in specimens from female genital organs, abnormal cytological findings"
S9220,"fracture of tarsal bone(s), unspecified"
S800,contusion of knee
B377,candidal sepsis
F319,"bipolar affective disorder, unspecified"
S936,sprain and strain of other and unspecified parts of foot
M1096,"gout, unspecified, lower leg"
I678,other specified cerebrovascular diseases
N920,excessive and frequent menstruation with regular cycle
S837,injury to multiple structures of knee
G448,other specified headache syndromes
T302,"burn of partial thicknes, body region unspecified"
N359,"urethral stricture, unspecified"
J302,other seasonal allergic rhinitis
H660,acute suppurative otitis media
S098,other specified injuries of head
O922,other and unspecified disorders of breast associated with childbirth
N751,abscess of bartholin's gland
S913,open wound of other parts of foot
S833,"tear of articular cartilage of knee, current"
N851,endometrial adenomatous hyperplasia
N601,diffuse cystic mastopathy
T782,"anaphylactic shock, unspecified"
S5230,"fracture of shaft of radius, part unspecified"
H524,presbyopia
H521,myopia
H522,astigmatism
H520,hypermetropia
S634,traumatic rupture of ligament of finger at metacarpophalangeal and interphalangeal joint(s)
